# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 370         5.377       51.451      22.60       Eindhoven   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# DR        : Duur van de neerslag (in 0.1 uur) per uurvak / Precipitation duration (in 0.1 hour) during the hourly division
# RH        : Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Hourly precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# STN,YYYYMMDD,   HH,    T,   DR,   RH
  370,20240103,   14,  102,    0,    0
  370,20240103,   15,  100,    0,    0
  370,20240103,   16,   93,    1,    5
  370,20240103,   17,   85,    5,   13
  370,20240103,   18,   87,    1,   12
  370,20240103,   19,   90,    0,   -1
  370,20240103,   20,   86,   10,   43
  370,20240103,   21,   81,   10,   35
  370,20240103,   22,   75,    9,   32
  370,20240103,   23,   82,    7,    2
  370,20240103,   24,   85,    0,    0
  370,20240104,    1,   85,    2,    1
  370,20240104,    2,   84,    0,    0
  370,20240104,    3,   80,    2,    8
  370,20240104,    4,   77,    0,   -1
  370,20240104,    5,   81,    5,    4
  370,20240104,    6,   76,    0,   -1
  370,20240104,    7,   76,    2,    1
  370,20240104,    8,   75,    0,    0
  370,20240104,    9,   77,    7,    8
  370,20240104,   10,   77,    9,    9
  370,20240104,   11,   76,    1,    1
  370,20240104,   12,   85,    6,   11
  370,20240104,   13,   88,    0,   -1
  370,20240104,   14,   89,    0,    0
  370,20240104,   15,   84,    0,    0
  370,20240104,   16,   69,    0,    0
  370,20240104,   17,   74,    0,    0
  370,20240104,   18,   73,    0,    0
  370,20240104,   19,   74,    0,   -1
  370,20240104,   20,   74,    0,   -1
  370,20240104,   21,   76,    0,   -1
  370,20240104,   22,   77,   10,    7
  370,20240104,   23,   77,    6,   10
  370,20240104,   24,   83,    0,    0
  370,20240105,    1,   88,    0,    0
  370,20240105,    2,   84,    0,    0
  370,20240105,    3,   86,    0,    0
  370,20240105,    4,   86,    0,    0
  370,20240105,    5,   85,    0,    0
  370,20240105,    6,   90,    0,    0
  370,20240105,    7,   85,    0,   -1
  370,20240105,    8,   73,    3,    1
  370,20240105,    9,   62,   10,    7
  370,20240105,   10,   63,    6,    4
  370,20240105,   11,   67,    0,   -1
  370,20240105,   12,   69,    0,   -1
  370,20240105,   13,   67,    8,    4
  370,20240105,   14,   67,    8,    2
  370,20240105,   15,   65,    2,    1
  370,20240105,   16,   66,    0,   -1
  370,20240105,   17,   66,    0,   -1
  370,20240105,   18,   66,    0,    0
  370,20240105,   19,   67,    0,    0
  370,20240105,   20,   69,    0,    0
  370,20240105,   21,   68,    0,   -1
  370,20240105,   22,   67,    0,   -1
  370,20240105,   23,   71,    0,   -1
  370,20240105,   24,   68,    0,   -1
  370,20240106,    1,   60,    0,   -1
  370,20240106,    2,   55,    0,    0
  370,20240106,    3,   52,    0,    0
  370,20240106,    4,   46,    0,    0
  370,20240106,    5,   43,    0,    0
  370,20240106,    6,   42,    0,    0
  370,20240106,    7,   41,    0,    0
  370,20240106,    8,   39,    0,    0
  370,20240106,    9,   38,    0,    0
  370,20240106,   10,   37,    0,    0
  370,20240106,   11,   37,    0,    0
  370,20240106,   12,   39,    0,    0
  370,20240106,   13,   36,    0,    0
  370,20240106,   14,   37,    0,    0
  370,20240106,   15,   33,    0,    0
  370,20240106,   16,   32,    0,    0
  370,20240106,   17,   32,    0,    0
  370,20240106,   18,   33,    0,    0
  370,20240106,   19,   32,    0,    0
  370,20240106,   20,   27,    0,    0
  370,20240106,   21,   23,    0,    0
  370,20240106,   22,   21,    0,    0
  370,20240106,   23,   17,    0,   -1
  370,20240106,   24,   14,    0,   -1
  370,20240107,    1,   13,    0,    0
  370,20240107,    2,   12,    0,    0
  370,20240107,    3,   11,    0,    0
  370,20240107,    4,   13,    0,    0
  370,20240107,    5,   12,    0,    0
  370,20240107,    6,   10,    0,   -1
  370,20240107,    7,    9,    0,   -1
  370,20240107,    8,    6,    0,    0
  370,20240107,    9,    5,    0,    0
  370,20240107,   10,    5,    0,    0
  370,20240107,   11,    3,    0,   -1
  370,20240107,   12,    4,    0,   -1
  370,20240107,   13,    6,    0,    0
  370,20240107,   14,    3,    0,    0
  370,20240107,   15,    2,    0,    0
  370,20240107,   16,   -3,    0,    0
  370,20240107,   17,   -8,    0,    0
  370,20240107,   18,  -12,    0,    0
  370,20240107,   19,  -24,    0,    0
  370,20240107,   20,  -20,    0,    0
  370,20240107,   21,  -28,    0,    0
  370,20240107,   22,  -29,    0,    0
  370,20240107,   23,  -17,    0,    0
  370,20240107,   24,  -21,    0,    0
  370,20240108,    1,  -22,    0,    0
  370,20240108,    2,  -22,    0,    0
  370,20240108,    3,  -26,    0,    0
  370,20240108,    4,  -28,    0,    0
  370,20240108,    5,  -27,    0,   -1
  370,20240108,    6,  -24,    0,   -1
  370,20240108,    7,  -20,    0,   -1
  370,20240108,    8,  -16,    0,   -1
  370,20240108,    9,  -14,    0,   -1
  370,20240108,   10,  -20,    0,   -1
  370,20240108,   11,  -11,    0,   -1
  370,20240108,   12,   -8,    0,    0
  370,20240108,   13,   -3,    0,    0
  370,20240108,   14,  -11,    0,    0
  370,20240108,   15,  -14,    0,    0
  370,20240108,   16,  -17,    0,    0
  370,20240108,   17,  -20,    0,    0
  370,20240108,   18,  -22,    0,    0
  370,20240108,   19,  -26,    0,    0
  370,20240108,   20,  -27,    0,    0
  370,20240108,   21,  -30,    0,    0
  370,20240108,   22,  -32,    0,    0
  370,20240108,   23,  -35,    0,    0
  370,20240108,   24,  -37,    0,    0
  370,20240109,    1,  -40,    0,    0
  370,20240109,    2,  -44,    0,    0
  370,20240109,    3,  -46,    0,    0
  370,20240109,    4,  -48,    0,    0
  370,20240109,    5,  -50,    0,    0
  370,20240109,    6,  -53,    0,    0
  370,20240109,    7,  -55,    0,    0
  370,20240109,    8,  -53,    0,    0
  370,20240109,    9,  -48,    0,    0
  370,20240109,   10,  -39,    0,    0
  370,20240109,   11,  -29,    0,    0
  370,20240109,   12,  -16,    0,    0
  370,20240109,   13,   -9,    0,    0
  370,20240109,   14,   -1,    0,    0
  370,20240109,   15,   -7,    0,    0
  370,20240109,   16,  -11,    0,    0
  370,20240109,   17,  -20,    0,    0
  370,20240109,   18,  -25,    0,    0
  370,20240109,   19,  -30,    0,    0
  370,20240109,   20,  -35,    0,    0
  370,20240109,   21,  -41,    0,    0
  370,20240109,   22,  -39,    0,    0
  370,20240109,   23,  -40,    0,    0
  370,20240109,   24,  -47,    0,    0
  370,20240110,    1,  -77,    0,    0
  370,20240110,    2,  -72,    0,    0
  370,20240110,    3,  -62,    0,    0
  370,20240110,    4,  -61,    0,    0
  370,20240110,    5,  -60,    0,    0
  370,20240110,    6,  -63,    0,    0
  370,20240110,    7,  -63,    0,    0
  370,20240110,    8,  -63,    0,    0
  370,20240110,    9,  -49,    0,    0
  370,20240110,   10,  -38,    0,    0
  370,20240110,   11,  -25,    0,    0
  370,20240110,   12,  -11,    0,    0
  370,20240110,   13,   -3,    0,    0
  370,20240110,   14,   -1,    0,    0
  370,20240110,   15,   -5,    0,    0
  370,20240110,   16,   -7,    0,    0
  370,20240110,   17,  -17,    0,    0
  370,20240110,   18,  -22,    0,    0
  370,20240110,   19,  -26,    0,    0
  370,20240110,   20,  -49,    0,    0
  370,20240110,   21,  -64,    0,    0
  370,20240110,   22,  -61,    0,    0
  370,20240110,   23,  -65,    0,    0
  370,20240110,   24,  -64,    0,    0
  370,20240111,    1,  -57,    0,    0
  370,20240111,    2,  -66,    0,    0
  370,20240111,    3,  -65,    0,    0
  370,20240111,    4,  -68,    0,    0
  370,20240111,    5,  -83,    0,    0
  370,20240111,    6,  -80,    0,    0
  370,20240111,    7,  -83,    0,    0
  370,20240111,    8,  -77,    0,    0
  370,20240111,    9,  -53,    0,    0
  370,20240111,   10,  -36,    0,    0
  370,20240111,   11,  -19,    0,    0
  370,20240111,   12,   -4,    0,    0
  370,20240111,   13,    1,    0,    0
  370,20240111,   14,   -2,    0,    0
  370,20240111,   15,   -6,    0,    0
  370,20240111,   16,   -4,    0,    0
  370,20240111,   17,   -4,    0,    0
  370,20240111,   18,   -5,    0,    0
  370,20240111,   19,   -5,    0,    0
  370,20240111,   20,   -4,    0,    0
  370,20240111,   21,   -2,    0,    0
  370,20240111,   22,   -2,    0,    0
  370,20240111,   23,   -2,    0,    0
  370,20240111,   24,   -1,    0,    0
  370,20240112,    1,   -1,    0,    0
  370,20240112,    2,   -1,    0,    0
  370,20240112,    3,   -2,    0,    0
  370,20240112,    4,   -2,    0,    0
  370,20240112,    5,   -1,    0,    0
  370,20240112,    6,    0,    0,    0
  370,20240112,    7,   10,    0,    0
  370,20240112,    8,    8,    0,    0
  370,20240112,    9,   15,    0,    0
  370,20240112,   10,   22,    0,    0
  370,20240112,   11,   26,    0,    0
  370,20240112,   12,   27,    0,    0
  370,20240112,   13,   28,    0,    0
  370,20240112,   14,   28,    0,    0
  370,20240112,   15,   29,    0,    0
  370,20240112,   16,   22,    0,    0
  370,20240112,   17,   22,    0,    0
  370,20240112,   18,   23,    0,    0
  370,20240112,   19,   24,    0,    0
  370,20240112,   20,   22,    0,    0
  370,20240112,   21,   23,    0,    0
  370,20240112,   22,   22,    0,    0
  370,20240112,   23,   19,    0,    0
  370,20240112,   24,   19,    0,    0
  370,20240113,    1,   20,    0,    0
  370,20240113,    2,   25,    0,    0
  370,20240113,    3,   25,    0,    0
  370,20240113,    4,   26,    0,    0
  370,20240113,    5,   25,    0,    0
  370,20240113,    6,   24,    0,   -1
  370,20240113,    7,   26,    0,    0
  370,20240113,    8,   27,    0,    0
  370,20240113,    9,   28,    0,    0
  370,20240113,   10,   29,    0,    0
  370,20240113,   11,   30,    0,    0
  370,20240113,   12,   32,    0,    0
  370,20240113,   13,   33,    0,    0
  370,20240113,   14,   31,    0,    0
  370,20240113,   15,   30,    0,    0
  370,20240113,   16,   28,    0,    0
  370,20240113,   17,   24,    0,   -1
  370,20240113,   18,   23,    3,    1
  370,20240113,   19,   18,    0,   -1
  370,20240113,   20,   15,    0,   -1
  370,20240113,   21,   12,    0,   -1
  370,20240113,   22,   12,    0,   -1
  370,20240113,   23,   12,    0,    0
  370,20240113,   24,   12,    0,    0
  370,20240114,    1,   13,    0,   -1
  370,20240114,    2,   13,    3,    1
  370,20240114,    3,   10,    5,    2
  370,20240114,    4,    9,    2,    2
  370,20240114,    5,    8,    0,   -1
  370,20240114,    6,    7,    0,   -1
  370,20240114,    7,    6,    0,    0
  370,20240114,    8,    6,    0,    0
  370,20240114,    9,    7,    0,   -1
  370,20240114,   10,   10,    0,   -1
  370,20240114,   11,    7,    4,    2
  370,20240114,   12,   11,    0,   -1
  370,20240114,   13,   11,    0,    0
  370,20240114,   14,   11,    0,   -1
  370,20240114,   15,   11,    0,   -1
  370,20240114,   16,    8,    0,    0
  370,20240114,   17,    7,    0,   -1
  370,20240114,   18,    5,    0,   -1
  370,20240114,   19,    3,    7,    2
  370,20240114,   20,    5,   10,    4
  370,20240114,   21,    6,   10,    4
  370,20240114,   22,    9,    8,    2
  370,20240114,   23,    9,    7,    6
  370,20240114,   24,    6,   10,   12
  370,20240115,    1,   10,    3,    4
  370,20240115,    2,   12,    1,    1
  370,20240115,    3,    8,    0,    0
  370,20240115,    4,   10,    0,   -1
  370,20240115,    5,    9,    4,    3
  370,20240115,    6,    9,    2,    2
  370,20240115,    7,    5,    7,    6
  370,20240115,    8,    6,    7,    6
  370,20240115,    9,    5,    7,    4
  370,20240115,   10,    7,    7,    7
  370,20240115,   11,   12,    1,    3
  370,20240115,   12,    6,    4,    5
  370,20240115,   13,   13,    1,    3
  370,20240115,   14,    9,    6,   10
  370,20240115,   15,   11,    3,    5
  370,20240115,   16,    8,    2,    2
  370,20240115,   17,    6,    2,    1
  370,20240115,   18,   -1,    0,    0
  370,20240115,   19,    4,    0,   -1
  370,20240115,   20,    4,    5,    4
  370,20240115,   21,    2,    0,    0
  370,20240115,   22,    6,    0,   -1
  370,20240115,   23,    4,    0,    0
  370,20240115,   24,    4,    0,    0
  370,20240116,    1,    6,    1,    1
  370,20240116,    2,    7,    0,   -1
  370,20240116,    3,    4,    5,    3
  370,20240116,    4,   -3,    0,   -1
  370,20240116,    5,   -9,    0,    0
  370,20240116,    6,  -19,    0,    0
  370,20240116,    7,  -18,    0,    0
  370,20240116,    8,  -16,    0,    0
  370,20240116,    9,  -11,    0,    0
  370,20240116,   10,   -6,    0,    0
  370,20240116,   11,    1,    0,    0
  370,20240116,   12,    8,    0,    0
  370,20240116,   13,   12,    0,    0
  370,20240116,   14,   12,    0,    0
  370,20240116,   15,   10,    0,    0
  370,20240116,   16,   -1,    0,    0
  370,20240116,   17,   -8,    0,    0
  370,20240116,   18,  -16,    0,    0
  370,20240116,   19,  -18,    0,    0
  370,20240116,   20,  -21,    0,    0
  370,20240116,   21,  -25,    0,    0
  370,20240116,   22,  -34,    0,    0
  370,20240116,   23,  -35,    0,    0
  370,20240116,   24,  -40,    0,    0
  370,20240117,    1,  -45,    0,    0
  370,20240117,    2,  -38,    0,    0
  370,20240117,    3,  -38,    0,    0
  370,20240117,    4,  -46,    0,    0
  370,20240117,    5,  -40,    0,    0
  370,20240117,    6,  -38,    0,    0
  370,20240117,    7,  -38,    0,    0
  370,20240117,    8,  -35,    0,    0
  370,20240117,    9,  -29,    0,    0
  370,20240117,   10,  -22,    0,    0
  370,20240117,   11,  -16,    0,    0
  370,20240117,   12,  -12,    0,    0
  370,20240117,   13,  -10,    0,    0
  370,20240117,   14,   -6,    0,    0
  370,20240117,   15,   -8,    0,    0
  370,20240117,   16,   -9,    0,    0
  370,20240117,   17,  -11,    0,    0
  370,20240117,   18,  -12,    0,    0
  370,20240117,   19,  -10,    0,    0
  370,20240117,   20,  -13,    0,    0
  370,20240117,   21,  -13,    0,    0
  370,20240117,   22,  -14,    0,    0
  370,20240117,   23,  -15,    0,    0
  370,20240117,   24,  -15,    0,    0
  370,20240118,    1,  -19,    0,    0
  370,20240118,    2,  -22,    0,    0
  370,20240118,    3,  -24,    0,    0
  370,20240118,    4,  -26,    0,    0
  370,20240118,    5,  -31,    0,    0
  370,20240118,    6,  -43,    0,    0
  370,20240118,    7,  -55,    0,    0
  370,20240118,    8,  -60,    0,    0
  370,20240118,    9,  -36,    0,    0
  370,20240118,   10,   -3,    0,    0
  370,20240118,   11,   20,    0,    0
  370,20240118,   12,   32,    0,    0
  370,20240118,   13,   36,    0,    0
  370,20240118,   14,   33,    0,    0
  370,20240118,   15,   25,    0,    0
  370,20240118,   16,    1,    0,    0
  370,20240118,   17,   -9,    0,    0
  370,20240118,   18,  -41,    0,    0
  370,20240118,   19,  -39,    0,    0
  370,20240118,   20,  -45,    0,    0
  370,20240118,   21,  -51,    0,    0
  370,20240118,   22,  -50,    0,    0
  370,20240118,   23,  -46,    0,    0
  370,20240118,   24,  -35,    0,    0
  370,20240119,    1,  -47,    0,    0
  370,20240119,    2,  -26,    0,    0
  370,20240119,    3,  -33,    0,    0
  370,20240119,    4,  -26,    0,    0
  370,20240119,    5,  -33,    0,    0
  370,20240119,    6,  -39,    0,    0
  370,20240119,    7,  -26,    0,   -1
  370,20240119,    8,  -41,    0,   -1
  370,20240119,    9,  -28,    0,    0
  370,20240119,   10,  -12,    0,    0
  370,20240119,   11,    3,    0,    0
  370,20240119,   12,   16,    0,    0
  370,20240119,   13,   22,    0,    0
  370,20240119,   14,   24,    0,    0
  370,20240119,   15,   19,    0,    0
  370,20240119,   16,    9,    0,    0
  370,20240119,   17,   -5,    0,    0
  370,20240119,   18,   -7,    0,    0
  370,20240119,   19,  -10,    0,    0
  370,20240119,   20,  -17,    0,    0
  370,20240119,   21,  -20,    0,    0
  370,20240119,   22,  -16,    0,    0
  370,20240119,   23,  -13,    0,    0
  370,20240119,   24,  -10,    0,    0
  370,20240120,    1,  -10,    0,    0
  370,20240120,    2,  -11,    0,    0
  370,20240120,    3,  -10,    0,    0
  370,20240120,    4,  -11,    0,    0
  370,20240120,    5,  -11,    0,    0
  370,20240120,    6,  -11,    0,    0
  370,20240120,    7,  -13,    0,    0
  370,20240120,    8,  -15,    0,    0
  370,20240120,    9,  -13,    0,    0
  370,20240120,   10,  -12,    0,    0
  370,20240120,   11,  -11,    0,    0
  370,20240120,   12,   -3,    0,    0
  370,20240120,   13,    8,    0,    0
  370,20240120,   14,    6,    0,    0
  370,20240120,   15,   -3,    0,    0
  370,20240120,   16,  -11,    0,    0
  370,20240120,   17,  -12,    0,    0
  370,20240120,   18,  -17,    0,    0
  370,20240120,   19,  -22,    0,    0
  370,20240120,   20,  -11,    0,    0
  370,20240120,   21,  -13,    0,    0
  370,20240120,   22,  -19,    0,    0
  370,20240120,   23,   -5,    0,    0
  370,20240120,   24,   -9,    0,    0
  370,20240121,    1,  -19,    0,    0
  370,20240121,    2,  -18,    0,    0
  370,20240121,    3,   -6,    0,    0
  370,20240121,    4,   -4,    0,    0
  370,20240121,    5,   13,    0,    0
  370,20240121,    6,   16,    0,    0
  370,20240121,    7,   19,    0,    0
  370,20240121,    8,   19,    0,    0
  370,20240121,    9,   25,    0,    0
  370,20240121,   10,   25,    0,    0
  370,20240121,   11,   34,    0,    0
  370,20240121,   12,   44,    0,    0
  370,20240121,   13,   48,    0,    0
  370,20240121,   14,   49,    0,    0
  370,20240121,   15,   50,    0,    0
  370,20240121,   16,   49,    0,    0
  370,20240121,   17,   48,    0,    0
  370,20240121,   18,   49,    0,    0
  370,20240121,   19,   51,    0,    0
  370,20240121,   20,   59,    0,    0
  370,20240121,   21,   65,    0,    0
  370,20240121,   22,   72,    0,   -1
  370,20240121,   23,   84,    0,   -1
  370,20240121,   24,   91,    0,    0
  370,20240122,    1,   96,    0,    0
  370,20240122,    2,  100,    0,    0
  370,20240122,    3,  103,    0,   -1
  370,20240122,    4,  104,    7,    7
  370,20240122,    5,  109,    3,    2
  370,20240122,    6,  108,    6,    7
  370,20240122,    7,  108,    9,   15
  370,20240122,    8,  114,    6,    5
  370,20240122,    9,  110,   10,    5
  370,20240122,   10,  108,    9,   10
  370,20240122,   11,   93,    8,   59
  370,20240122,   12,   99,    8,   22
  370,20240122,   13,  108,    0,    0
  370,20240122,   14,  106,    0,    0
  370,20240122,   15,  103,    0,    0
  370,20240122,   16,   99,    0,    0
  370,20240122,   17,   90,    0,    0
  370,20240122,   18,   90,    0,    0
  370,20240122,   19,   87,    0,    0
  370,20240122,   20,   84,    0,    0
  370,20240122,   21,   84,    0,    0
  370,20240122,   22,   80,    0,    0
  370,20240122,   23,   85,    0,   -1
  370,20240122,   24,   83,    0,   -1
  370,20240123,    1,   82,    0,    0
  370,20240123,    2,   75,    0,    0
  370,20240123,    3,   73,    0,    0
  370,20240123,    4,   68,    0,    0
  370,20240123,    5,   62,    0,    0
  370,20240123,    6,   60,    0,    0
  370,20240123,    7,   58,    0,    0
  370,20240123,    8,   38,    0,    0
  370,20240123,    9,   57,    0,    0
  370,20240123,   10,   71,    0,    0
  370,20240123,   11,   79,    0,    0
  370,20240123,   12,   89,    0,    0
  370,20240123,   13,   90,    0,    0
  370,20240123,   14,   88,    0,   -1
  370,20240123,   15,   81,    9,    3
  370,20240123,   16,   80,   10,    4
  370,20240123,   17,   82,    4,    3
  370,20240123,   18,   84,   10,   11
  370,20240123,   19,   91,    7,    1
  370,20240123,   20,  103,    6,    2
  370,20240123,   21,  110,    0,    0
  370,20240123,   22,  124,    0,    0
  370,20240123,   23,  127,    0,    0
  370,20240123,   24,  134,    0,    0
  370,20240124,    1,  135,    0,    0
  370,20240124,    2,  124,    2,    1
  370,20240124,    3,  123,    9,    9
  370,20240124,    4,  129,    0,   -1
  370,20240124,    5,  125,    0,    0
  370,20240124,    6,  123,    0,    0
  370,20240124,    7,  117,    0,    0
  370,20240124,    8,  112,    0,    0
  370,20240124,    9,  111,    0,    0
  370,20240124,   10,  112,    0,    0
  370,20240124,   11,  114,    0,    0
  370,20240124,   12,  115,    0,    0
  370,20240124,   13,  115,    0,    0
  370,20240124,   14,  111,    0,    0
  370,20240124,   15,  110,    0,    0
  370,20240124,   16,  102,    0,    0
  370,20240124,   17,   94,    0,    0
  370,20240124,   18,   92,    0,    0
  370,20240124,   19,   87,    0,    0
  370,20240124,   20,   85,    0,    0
  370,20240124,   21,   81,    0,    0
  370,20240124,   22,   88,    0,    0
  370,20240124,   23,   89,    0,    0
  370,20240124,   24,   85,    0,    0
  370,20240125,    1,   72,    0,    0
  370,20240125,    2,   60,    0,    0
  370,20240125,    3,   52,    0,    0
  370,20240125,    4,   36,    0,    0
  370,20240125,    5,   27,    0,    0
  370,20240125,    6,   21,    0,    0
  370,20240125,    7,   22,    0,    0
  370,20240125,    8,   27,    0,    0
  370,20240125,    9,   43,    0,    0
  370,20240125,   10,   59,    0,    0
  370,20240125,   11,   70,    0,    0
  370,20240125,   12,   77,    0,    0
  370,20240125,   13,   77,    0,    0
  370,20240125,   14,   74,    0,   -1
  370,20240125,   15,   77,    6,    2
  370,20240125,   16,   80,    8,    5
  370,20240125,   17,   85,    3,    1
  370,20240125,   18,   91,    2,    1
  370,20240125,   19,   93,   10,    3
  370,20240125,   20,   96,    5,    1
  370,20240125,   21,  100,    2,    1
  370,20240125,   22,  101,    0,    0
  370,20240125,   23,  102,    0,    0
  370,20240125,   24,  102,    0,    0
  370,20240126,    1,  103,    0,    0
  370,20240126,    2,  104,    0,    0
  370,20240126,    3,  105,    0,    0
  370,20240126,    4,  106,    0,    0
  370,20240126,    5,  104,    0,   -1
  370,20240126,    6,  101,    6,    8
  370,20240126,    7,  105,   10,   15
  370,20240126,    8,  112,    3,    5
  370,20240126,    9,  115,    9,    5
  370,20240126,   10,  109,    6,    4
  370,20240126,   11,  108,    2,    1
  370,20240126,   12,   94,    0,    0
  370,20240126,   13,   88,    0,    0
  370,20240126,   14,   90,    0,    0
  370,20240126,   15,   80,    0,    0
  370,20240126,   16,   75,    0,    0
  370,20240126,   17,   61,    0,    0
  370,20240126,   18,   35,    0,    0
  370,20240126,   19,   26,    0,    0
  370,20240126,   20,   29,    0,    0
  370,20240126,   21,   14,    0,    0
  370,20240126,   22,   15,    0,    0
  370,20240126,   23,   10,    0,    0
  370,20240126,   24,    1,    0,    0
  370,20240127,    1,   -4,    0,    0
  370,20240127,    2,   -3,    0,    0
  370,20240127,    3,   -3,    0,    0
  370,20240127,    4,   -9,    0,    0
  370,20240127,    5,   -5,    0,    0
  370,20240127,    6,  -16,    0,    0
  370,20240127,    7,   -4,    0,    0
  370,20240127,    8,    5,    0,    0
  370,20240127,    9,   17,    0,    0
